id,question,option_a,option_b,option_c,option_d,correct,difficulty,explanation,picture
14,What does a white arrow-shaped traffic light signal on a black background mean?,That you may only go straight ahead.,It warns that this street is one-way.,It warns that you must follow the road signs.,It permits scheduled public transport to proceed in the indicated direction.,4,1,"Road Traffic Rules, clause 801. White signals on a black background in traffic lights intended for scheduled public transport have the following meanings:
801.1. an S-shaped signal prohibits the movement of scheduled public transport;
801.2. a horizontal bar signal prohibits the movement of scheduled public transport (except in the cases set out in clauses 29 and 166 of the Rules) and indicates that the traffic light signals are about to change;
801.3. an S-shaped signal and a horizontal bar signal switched on together prohibit the movement of scheduled public transport and indicate that an arrow-shaped signal (signals) will shortly be switched on;
801.4. an arrow-shaped signal (signals) permits the movement of scheduled public transport in the indicated direction (directions).",14.jpg
15,Which group of road signs does this sign belong to?,Prohibitory signs.,Mandatory signs.,Vehicle distinguishing and information signs.,Warning signs.,3,1,"In buses fitted with seat belts, an information sign ""Fasten your seat belt"" must be shown in front of every seat, or in a visible place on or beside the bus seat. The sign is blue and white, the diameter of its circle is 60 mm and the width of the white border is 3 mm.",15.jpg
16,How must vehicles travel if the carriageway is divided into lanes by marking lines?,"Not necessarily in the lanes, if a lane is not wide enough.","Not necessarily in the lanes, if there are no other vehicles about.",Only in those lanes. Driving onto a broken marking line is allowed only when changing lanes.,,3,1,"If the carriageway is divided into lanes by road markings and/or road signs, vehicles must travel in those lanes. Driving onto broken road marking lines is allowed only when changing to another lane; solid road marking lines may be crossed only in the cases set out in Annex 3 to the Rules. Where a solid marking line (single or double) separates the lanes of opposing directions, the driver must keep to the right of it. Solid road marking lines and directional islands may also be crossed in the exceptional case where it is impossible to continue without changing lane because of a stationary obstruction on the carriageway (a fallen tree, a road accident, a vehicle forced to stop or parked where it should not be, or other stationary objects that make movement impossible), provided that it is safe to do so and other road users are not obstructed.",16.jpg
17,"What must you do if you are forced to stop on an unlit stretch of road in the dark, or in poor visibility, with the side lights and brake lights out of order?",Turn the vehicle around and switch on the dipped headlights.,"If the car cannot be parked off the road — switch on the hazard warning lights, and if there are none or they are out of order, place a warning triangle.",Mark the car with brightly coloured flags.,,2,2,"Road Traffic Rules, clause 92. If a vehicle has no hazard warning lights or they are out of order and it is forced to stop where stopping or standing is prohibited, or after a road accident, and also if it is forced to stop where other road users would see the stopped vehicle less than 100 m away, the driver of a motor vehicle (except a moped or a motorcycle without a sidecar), a tractor or a self-propelled machine must immediately place a warning triangle facing the direction of oncoming traffic on that side of the carriageway: in built-up areas no closer than 25 m, and outside built-up areas no closer than 50 m from the stopped vehicle. If at least one rear side light fails while driving in the dark or in poor visibility and the hazard warning lights do not work, a warning triangle must be fixed to the rear of the vehicle in order to continue.

Road Traffic Rules, clause 151. A driver forced to stop where stopping (standing) is prohibited must switch on the hazard warning lights, if fitted, and/or place a warning triangle as set out in clause 92 of the Rules, and remove the vehicle from the road as quickly as possible. If you wish to stop on an unlit stretch of road in the dark or in poor visibility and there are no hazard warning lights or they are out of order, the vehicle must be parked off the road. If that cannot be done, the place must be marked as set out in clause 92 of the Rules.",17.jpg
18,In what order will the cars go?,"Yellow, blue, red.","Red, yellow, blue.","Blue, yellow, red.",,3,3,"Because this is a junction of equal-priority roads, drivers must follow the rules for crossing such junctions. The blue car goes first, because when turning left at a junction of equal-priority roads the yellow car must give way to the blue car coming from the opposite direction and going straight ahead. The yellow car goes second, because once it has entered the junction there is no longer an obstacle on its right. The red car goes last, because its obstacle on the right was the yellow car.",18.jpg
19,The silver car is pulling out of a parking space. Which car will have priority?,The yellow car.,The silver car.,,,1,3,"Before pulling out of the parking space the silver car must make sure that it will not obstruct other road users and, in this case, must give way to the yellow car.",19.jpg
20,Is it allowed to turn left in the direction shown on this two-way road?,It is prohibited.,It is allowed.,,,2,2,"The road sign ""Ahead only"". Only straight ahead is allowed. A sign placed at the beginning of a section of road applies as far as the nearest junction and does not prohibit turning right in order to enter premises beside the road. A sign placed before a junction applies only at the carriageway intersection before which it is placed. The requirements of the sign do not apply to scheduled public transport.",20.jpg
21,This sign prohibits:,"the movement of lorries and combinations of vehicles with a mass over 3.5 t, 3 km further on.",the movement of all vehicles 3 km further on.,the movement of lorries with a mass over 3.5 t for 3 kilometres from the sign.,,1,2,"Road Traffic Rules, Annex 1, sign 304. Road sign ""No lorries"". It is prohibited to drive lorries and combinations of vehicles whose maximum authorised mass exceeds 3.5 t or exceeds the mass shown on the sign, and also tractors and self-propelled machines, except vehicles serving premises in the area.
Road Traffic Rules, Annex 1, plate 801. Plate ""Distance to object"". It indicates the direction of, and the distance to, an object or the start of a dangerous section of road. The direction of the object (section) shown on the plate is straight ahead.",21.jpg
22,Is it allowed to stop on the shoulder at this spot?,It is prohibited.,It is allowed.,,,2,2,"A sign prohibiting stopping and standing applies only as far as the end of the built-up area. In this situation, therefore, the car is allowed to stand like this.",22.jpg
23,Which driver must give way in this situation on a two-way road?,The blue one.,The green one.,,,1,2,"Because this stretch of road is marked with a broken road marking line, the driver of the green car may overtake and has priority. The marking line tells us that this is not a junction but an entrance to a yard or premises.",23.jpg
24,Which vehicles are allowed to stand in the parking space marked by this road sign?,"Vehicles marked with the ""Disabled person"" distinguishing sign.",Only vehicles with special permits.,Vehicles serving premises in the area.,Scheduled public transport.,2,1,"""Reserved parking space"". A parking space where vehicles may stand only with special permits. Permits that are not electronic are displayed behind the windscreen.",24.jpg
25,When is it most appropriate for the driver of an overtaking car to return to the right-hand lane?,Immediately after finishing the overtake.,After driving more than 100 m past the overtaken car.,When the driver of the overtaking car can see the overtaken car in the rear-view mirror.,,3,2,"Drivers are advised to avoid unnecessary overtaking manoeuvres. Before starting to overtake, a driver must take additional precautions and make sure that:
136.1. none of the drivers following behind has started to overtake them;
136.2. the driver of the vehicle to be overtaken is not signalling a left turn;
136.3. the part of the lane needed for overtaking is clear and that oncoming vehicles, or pedestrians moving on the carriageway, will not be obstructed;
136.4. a safe distance from the overtaken vehicle will be kept during the overtake;
136.5. on finishing the overtake they will be able to return to their own lane without obstructing the overtaken vehicle.",25.jpg
26,In what order will the vehicles cross the junction (the white car has blue and red beacons and its siren switched on)?,"Emergency vehicle, red car, blue car, yellow car.","Emergency vehicle, blue car, red car, yellow car.","Emergency vehicle, blue car, yellow car, red car.","Emergency vehicle, yellow car, blue car, red car.",1,3,"This is a junction of equal-priority roads, so drivers must give way to vehicles approaching from the right if their paths cross. Because the white car has blue and red beacons and a siren switched on, it has priority and goes first. The remaining cars then follow the give-way-to-the-right rule. The red car crosses second, because once the white car has passed it no longer has an obstacle on its right. The blue car goes next, because once the red car has passed there is no longer an obstacle on its right, and finally the yellow car goes.",26.jpg
27,What does this road sign indicate?,It recommends driving no faster than 40 km/h beyond the sign.,It prohibits driving faster than 40 km/h on all roads in the area beyond the sign.,It prohibits driving faster than 40 km/h only as far as the nearest junction.,,2,1,"""Speed limit zone"". On all roads in the area beyond the sign it is prohibited to drive faster (in km/h) than shown on the sign. Where a time is given, the sign applies only during that time.",27.jpg
28,Is it compulsory to stop at the STOP line when turning right in this situation?,It is compulsory.,It is not compulsory.,,,2,2,"You must stop only where a plate with a green arrow on a white background is fitted. Here there is an additional signal section with a green arrow to the right, so you do not have to stop.",28.jpg
29,What do this road sign and the plates indicate?,The bends will start in 400 m and continue for 100 m.,The bends will start in 100 m and continue for 400 m.,,,1,1,"Road Traffic Rules, Annex 1, sign 116. ""Bends"". A section of road with bends of small radius or limited visibility. The first bend is to the left/right.
Road Traffic Rules, Annex 1, plate 805. ""Zone of validity ahead"". It indicates the length of the zone beyond the sign in which the dangerous section of road, or the other road signs it is used with, apply.
Road Traffic Rules, Annex 1, plate 801. ""Distance to object"". It indicates the direction of, and the distance to, an object or the start of a dangerous section of road. The direction of the object (section) shown on the plate is straight ahead.",29.jpg
30,What speed is the driver of a heavy quadricycle allowed to drive at on the stretch of road beyond these signs?,90 km/h.,80 km/h.,70 km/h.,,3,1,"Outside built-up areas the permitted speeds are:
131.6. quadricycles and heavy quadricycles — no more than 70 km/h;",30.jpg
31,Is the driver of the yellow car allowed to make a U-turn at this junction?,It is allowed.,It is prohibited.,,,2,2,"To make a U-turn, the driver of the yellow car should have moved into the far left-hand lane in good time and turned from there.",31.jpg
32,"The police car's siren is switched on. Car ""2"" will cross the junction:",First.,Third.,Second.,Last.,2,3,"The police car goes first, because its beacons and siren are switched on, so everyone must give way to it.
Cars 1 and 2 are on the major road and car 4 is on the minor road, so car 4 will go last.
Between cars 1 and 2 the give-way-to-the-right rule applies: car 2 must give way to car 1, because car 1 is on its right.",32.jpg
33,Which group of child seat is intended for children weighing between 22 and 36 kg?,III,I,II,,1,2,"Children under 135 cm tall who are carried in a car or a lorry must be restrained by child restraint systems suited to their height and weight, according to the size range and maximum child weight stated by the manufacturer, or according to these groups:
199.1. group 0 is for children weighing less than 10 kg;
199.2. group 0+ is for children weighing less than 13 kg;
199.3. group I is for children weighing between 9 and 18 kg;
199.4. group II is for children weighing between 15 and 25 kg;
199.5. group III is for children weighing between 22 and 36 kg.",33.jpg
34,What effect does wheel locking have on the braking distance?,The braking distance gets longer.,It has no effect.,The braking distance gets shorter.,,1,1,"When a car's wheels lock during braking they lose grip on the road surface. This sliding means that the braking friction becomes lower than when the wheels are still rolling. As a result the car slows down more slowly and the braking distance gets longer. The driver also loses the ability to steer the car, which makes sudden manoeuvres dangerous. Modern vehicles use an ABS system, which prevents the wheels from locking and ensures effective and safe braking.",34.jpg
35,How can you tell while driving whether your car's main beam headlights are switched on?,By a green warning light.,By a yellow warning light.,By a blue warning light.,By a red warning light.,3,1,"When the main beam headlights are switched on, a blue warning light normally comes on in the instrument panel. This lets the driver see easily that the lights are on, even when they cannot see the beams directly.",35.jpg
36,How long does it take for 1.0 per mille of alcohol to leave the blood?,3 hours.,6 hours.,10 hours.,,3,2,The body removes about 0.1–0.15 per mille per hour on average. Bringing 1.0 per mille down to 0 can therefore often take about 10 hours if the concentration was high.,36.jpg
37,What will you do in this situation (a trolleybus is standing before the crossing)?,"On reaching the pedestrian crossing you will reduce speed and, seeing no pedestrians, drive on.","On reaching the pedestrian crossing you will stop and, having made sure there are no pedestrians, drive on.","You will drive at the same speed as before, paying no attention to the stopped trolleybus.",,2,2,"In a situation like this, pedestrians walking out from behind the trolleybus may not be visible, so if you drive on without stopping you could knock them down. You must therefore stop at the crossing and drive on only after letting the pedestrians pass or making sure that there are none.",37.jpg
38,"Placed in a built-up area, this road sign warns that:",The dangerous section with bends will start 50–100 m beyond the sign.,The dangerous section with bends will start immediately beyond the sign.,The dangerous section with bends will start 150–300 m beyond the sign.,,1,1,"Outside built-up areas, warning signs 101–137 and 150 are placed 150–300 m before the start of the dangerous section of road, and in built-up areas 50–100 m before it.",38.jpg
39,"If a vehicle with its siren and beacons (blue and red) switched on approaches the junction in this situation, the driver of the red car:","Will drive on without giving way to anyone, because the traffic light is green for them.",Must give way to the emergency vehicle.,,,2,2,"Road users must give way immediately to approaching emergency vehicles with blue and red (or only blue) beacons and sirens switched on, and to the vehicles they are escorting.",39.jpg
40,What is the maximum speed allowed beyond this sign at 6 o'clock in the morning?,90 km/h.,70 km/h.,60 km/h.,,2,1,The road sign applies from 21:00 in the evening until 07:00 in the morning (all night). It therefore applies at 6 o'clock in the morning as well.,40.jpg
41,The driver of which vehicle will cross the junction second?,The lorry.,The yellow car.,The red car.,,3,3,"The yellow and the red car, both travelling on the major road, must follow the rules for crossing junctions of equal-priority roads in relation to each other. The yellow car therefore goes first, because the red car has an obstacle on its right (the yellow car). The red car goes next, and finally the lorry.",41.jpg
42,"When the green traffic light comes on, may you make a U-turn?","Yes, if you are in the second lane.",No.,,,1,2,"If the road signs and/or road markings allow it, you may turn left or make a U-turn on a general green traffic light, but only after giving way to oncoming cars and to pedestrians and cyclists crossing the road you are turning into.",42.jpg
43,Which driver has priority?,The driver of the blue car.,The driver of the red car.,,,1,3,"The give-way-to-the-right rule applies here. The red car has an obstacle on its right, so it goes second.",43.jpg
44,The driver of which car will cross the junction last (the white car is turning left)?,The driver of the white car.,The driver of the blue car.,The driver of the green car.,,2,3,"The green and the white car are on the major road of equal priority, so the green car goes first, because the white car has an obstacle on its right (that same green car). The white car goes next, and finally the blue car, because it is on the minor road.",44.jpg
45,Is such an overtaking manoeuvre allowed on this stretch of road?,Yes.,No.,,,2,2,"Because the overtaking manoeuvre is started before the level crossing and takes place on the crossing itself, such overtaking is a breach of the Road Traffic Rules.",45.jpg
46,Which direction indicator will you use when going straight ahead at a junction of equal-priority roads outside a built-up area?,The left indicator.,The right indicator.,I will not use any.,,3,2,"No direction indicator is used when going straight ahead, because the direction of travel is not being changed.",46.jpg
47,What does an area marked with yellow lines at a carriageway intersection mean?,It marks a place you must not drive into if there is an obstruction in it or beyond it.,It marks a pedestrian crossing.,It marks a dangerous section of road.,,1,1,An area marked with yellow lines at a carriageway intersection marks a place you must not drive into if there is an obstruction in it or beyond it that would force the driver to stop at the carriageway intersection and obstruct the movement of other vehicles.,47.jpg
48,Is a person working on the road considered to be a pedestrian?,Yes.,No.,,,2,1,"A person working on the road is a person repairing or maintaining the road or technical traffic control devices, directing and supervising traffic, removing from the road or fencing off a vehicle forced to stop or another obstruction, dealing with the consequences of a road accident or other emergency, carrying out other rescue work, or giving medical assistance to a person injured in a road accident on the road or to another person who needs medical assistance.",48.jpg
49,Novice drivers must mark their car with this distinguishing sign:,At the front only.,At the rear only.,At the front and at the rear.,,2,1,"Novice drivers must display, on the left-hand side of the rear of the car, a white square distinguishing sign with a green border and a green maple leaf in the middle. The side of the square is between 100 mm and 150 mm long and the width of the border is 1/10 of the length of the side.",49.jpg
50,What does this road marking indicate?,"It indicates that you are approaching a ""Stop"" line, when it is used together with the ""Stop"" sign.",It indicates that you are approaching a place where stopping is compulsory.,It indicates a place where you must give way to pedestrians.,,1,1,"The word ""STOP"" indicates that you are approaching marking line 1.11, when that line is used together with the road sign ""Stop"".",50.jpg
51,"When driving in poor visibility, a driver must choose a speed at which the stopping distance is:",Shorter than the length of road that can be seen.,Longer than the length of road that can be seen.,,,1,2,"This makes sure that, on spotting an obstruction, the car will be able to stop safely without going beyond the visible zone.",51.jpg
52,What does this symbol warn about when it lights up on the instrument panel?,A fuse has blown.,The battery is not charging.,A fault in the anti-lock braking system.,,3,2,The ABS (Anti-lock Braking System) symbol lighting up on the instrument panel warns of a fault in the anti-lock braking system. It means the system has detected an error and has switched the ABS function off automatically to avoid the brakes working incorrectly.,52.jpg
53,In which of the following engine states is the battery the only source of energy for the electrical consumers?,When the crankshaft speed is medium or higher.,When the engine is not running.,When the crankshaft speed is low or medium.,,2,3,"The battery is the only source of energy in ACC (accessory) mode, when the engine is not running.",53.jpg
54,Which wheels does the parking brake act on?,The rear wheels only.,The front wheels only.,Both the front and the rear wheels.,The rear or the front wheels.,4,2,"The parking brake acts on the front or the rear wheels, depending on how the car is built. On most cars it acts on the rear wheels, but on some older or special vehicles it may be connected to the front wheels.",54.jpg
55,When entering a roundabout you must always:,Turn right.,Signal a right turn.,Turn left.,,1,1,"When entering a roundabout you must always give way to the drivers already travelling on it. Under the Road Traffic Rules you must not signal when entering a roundabout. You must also keep to the marked lanes, obey the road signs controlling the roundabout (for example ""Give way"") and the traffic lights, and keep to a safe speed.",55.jpg
56,You intend to turn right from an unsurfaced road onto a road with an asphalt surface. What will you do in this situation?,"I will go first, because I have priority.",I will give way to the car coming from the left.,,,2,2,"Under the Road Traffic Rules, when leaving an unsurfaced road (a gravel, field or forest road) for a surfaced road you must give way, stopping if necessary, and let all vehicles crossing your path pass, because in this case the surfaced road counts as the major road compared with the unsurfaced one.",56.jpg
57,Why must you make sure the indicator is switched off after taking a turn?,So as not to dazzle other road users.,So as not to drain the battery.,So as not to damage the indicator switch (relay).,So as not to mislead other road users.,4,1,"After taking a turn you must make sure the indicator is switched off so that you do not mislead other road users and cause dangerous situations. A false signal can make other drivers wrongly believe that you are turning again or stopping, which creates a hazard.",57.jpg
58,Is it allowed to make a U-turn at this junction at 3 p.m.?,Yes.,No.,,,2,2,"At this junction there is a road sign showing that you may go straight ahead or turn left. Below the sign is a plate with the times ""14–17 h"", which means the restriction applies during those hours. Since the sign does not allow a U-turn, you cannot turn round at 3 p.m.",58.jpg
59,Your car has broken down while you were driving on a motorway. You have stopped on the surfaced hard shoulder. Where is the safest place to wait for help?,On the grass verge.,Behind the car.,In the car.,In front of the car.,1,2,"The safest place to wait for help is behind the crash barrier, on the green verge, well away from the carriageway.",59.jpg
60,What does a broken white line along the middle of the road mean?,You must watch out for oncoming vehicles.,It may be crossed only when it is safe to do so.,Do not overtake.,,2,1,A broken white line along the middle of the road marks the lane boundaries for vehicles travelling in the same direction.,60.jpg
61,When may you bring your vehicle to a stop at a carriageway intersection?,When I am waiting for an opportunity to turn left.,When I am turning right onto the major road in heavy traffic.,Never.,,1,2,While waiting to turn left you are allowed to stop in order to let oncoming traffic pass.,61.jpg
62,What does this sign mean?,No entry.,Going straight ahead is prohibited.,Ahead only.,,3,1,The sign means that you must go straight ahead.,62.jpg
63,What is the maximum speed allowed in a built-up area for a lorry with a maximum authorised mass of 3.5 t towing a trailer?,40 km/h,60 km/h,50 km/h,,3,2,"The sign ""Built-up area"" (Tytuvėnai) means that you are entering a built-up area and that the rules for built-up areas start to apply. The maximum speed is 50 km/h.",63.jpg
64,"Having passed the tests at the state enterprise ""Regitra"", you may start driving on your own:",Immediately.,Only once you have received your driving licence.,If you have a copy of the test report.,,2,1,"Even though the tests have been passed, you may drive only once you hold the physical licence, because it has to be produced during a check.",64.jpg
65,Is the driver of a car allowed to stop in the right-hand lane of a road marked with this road sign?,It is allowed.,It is prohibited.,,,2,1,"The sign shows that the right-hand lane is reserved for scheduled public transport (buses). The driver of a car may therefore not stop in it, unless additional signs allow it.",65.jpg
66,Is it allowed to carry people in a towed caravan?,It is allowed.,It is prohibited.,,,2,1,"A towed caravan is not intended for carrying people while on the move, so there must be no passengers in it.",66.jpg
67,What will you do when driving up a steep hill in a car with a manual gearbox?,I will change up to a higher gear.,I will change down to a lower gear.,I will stay in the same gear.,,2,2,"Driving up a steep hill with a manual gearbox calls for a lower gear, because it gives more pulling power and makes it easier for the engine to take the car uphill.",67.jpg
68,A slow-moving vehicle ahead of you is forcing you to reduce your speed considerably. What will you do?,I will flash my headlights to urge them to go faster.,I will drive close behind so that I can overtake as soon as possible.,I will stay behind until an opportunity to overtake safely appears.,,3,2,"Even if a slow-moving vehicle ahead is holding you up, you must not flash your headlights at it or drive too close. You should keep a safe distance and wait for a moment when overtaking is safe and permitted.",68.jpg
69,You are driving on a motorway. When may you use the left-hand lane?,Until I have passed the vehicles travelling more slowly in the right-hand lane.,"I may use it all the time, even if the right-hand lane is free.",,,1,2,On a motorway you should keep as far right as possible; the left-hand lane is for overtaking or passing. Once the manoeuvre is finished you must return to the right-hand lane.,69.jpg
70,During the driving test:,"I will drive very slowly, to impress the examiner.",I will drive the way I usually do.,,,2,1,"During the driving test there is no need to drive unusually slowly on purpose or to try to impress in any other way. What matters is driving calmly and confidently, following the road traffic rules and the way you are used to driving safely.",70.jpg
71,The traffic controller's arms are lowered. The traffic light at the junction is red. Are you allowed to go straight ahead?,It is allowed.,It is prohibited.,,,1,2,"When traffic at a junction is being directed by a traffic controller, their signals take precedence over the traffic lights. If the controller's arms are lowered and they are standing sideways to you, you are allowed to go straight ahead even though the traffic light is red.",71.jpg
72,What does this road sign mean?,End of all previous restrictions.,End of the zone where standing is prohibited.,End of the zone where stopping is prohibited.,End of the major road.,4,1,"A yellow diamond means a major road, and when it is crossed out with diagonal black lines it shows that the major road ends. As you drive on you must watch the other signs carefully and follow the priority rules at junctions.",72.jpg
73,You intend to turn right at the junction. What will you do in this situation?,"I will turn in front of the cyclist, because I have priority.",I will let the cyclist going straight ahead pass and then turn.,,,2,2,When turning right you must give way to a cyclist going straight ahead in the same direction. Only once you have let them pass can you make the turn safely.,73.jpg
74,In what order will the vehicles cross the junction (the white car has a green traffic light)?,"The brown car together with the green one, then the white one.","Green, brown, white.","White, then the brown car together with the green one.",,3,3,"The green traffic light is showing for all three cars. The white car will cross the junction first, because the brown and the green car, turning left, must give way to cars turning right.",74.jpg
75,Holders of a certificate issued by an educational establishment are allowed to ride a bicycle on the road from the age of:,12.,14.,16.,,1,1,"Road Traffic Rules, clause 55. Riding a bicycle on the carriageway is allowed for people aged at least 14, and for people aged at least 12 who have completed the training course set by the Ministry of Education, Science and Sport of the Republic of Lithuania and hold a certificate issued by their school. Under the supervision of an adult, riding a bicycle on the carriageway is allowed from the age of 8. In a residential zone there is no age limit for cyclists.",75.jpg
76,Does the driver of the white car have priority (it is turning left)?,Yes.,No.,,,2,2,"Both cars are on the major road, so between themselves they follow the give-way-to-the-right rule. The blue car has no obstacle on its right, so it goes first. The white car therefore does not have priority in this case.",76.jpg
77,"Which drivers, travelling in the directions of the arrows, must give way to other road users?",The red car.,The black car.,The blue car.,The cyclist.,3,3,"The driver of the blue car is coming out of a car park (yard), so they must give way to all vehicles on the road they are entering.",77.jpg
78,"In what order will the vehicles cross the junction (the black car has amber beacons switched on, the white car is turning left)?","The white and the blue car together, then the black one.","Black, white, blue.","Blue, white, black.","Black, blue, white.",1,3,"The white and the blue car go first, because both are on the major road and their paths do not cross. The black car goes last, because it is coming from the minor road. Amber beacons do not give priority.",78.jpg
79,What does this sign prohibit?,Vehicles standing on even days of the month on the side where this sign is.,Vehicles standing on odd days of the week on the side where this sign is.,,,1,1,"The even days of the month are the 2nd, 4th, 6th, 8th and so on. An even day of the month becomes an odd one at 24:00.",79.jpg
80,Who is allowed to cross a level crossing when its red light is on?,Drivers of emergency vehicles travelling on the road with blue and red (or only blue) beacons and sirens switched on.,Cars with amber beacons switched on.,Road maintenance vehicles.,All vehicles are prohibited from proceeding.,1,1,Emergency service crews decide for themselves when it is safe to cross a level crossing and when it is not.,80.jpg
81,The plate indicates that:,A section marked in this way is often slippery because of ice or snow.,The air temperature on this section is low.,,,1,1,"Road Traffic Rules, Annex 1, plate 848. ""Icy road"". A section marked in this way is often slippery because of ice or snow.",81.jpg
82,Who must give way?,The cyclist.,The driver of the car.,,,1,2,"When approaching a place where the carriageway has to be crossed, a cyclist must in all cases reduce speed and may continue only after making sure that it is safe to do so. In addition, a cyclist wishing to cross the carriageway where traffic is not controlled must give way to vehicles travelling on the carriageway, except when crossing exits from premises beside the road, from a residential zone, a yard or a car park, and when crossing a carriageway into which other drivers are turning.",82.jpg
83,In which cases is it allowed to pass this road sign?,It is not allowed in any case.,"It is allowed if the mass of your vehicle, including the trailer and the load, is not greater than the mass shown on the sign.","It is always allowed, only at a safe speed.",It is allowed if the load on any one axle does not exceed the figure shown on the sign.,2,1,"Road Traffic Rules, Annex 1, sign 314. ""Mass limit"". It is prohibited to drive vehicles, or combinations of vehicles, whose mass with or without a load is greater than the mass shown on the sign.",83.jpg
